Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
FLTrust,95.11,94.53,81.33,85.96,1.06,5.38,robust,1,0.5,20,,661.07
FLTrust,95.11,94.53,81.33,85.96,1.06,5.38,robust,1,0.5,20,,659.53
DyF-ZTL_warmup_rounds=0,95.85,97.39,81.73,87.9,0.74,5.41,sensitivity,1,0.2,20,warmup_rounds=0,897.79
FLTrust,96.02,96.89,82.82,88.65,0.67,5.38,robust,2,0.5,20,,672.86
FedAvg,4.75,12.23,16.19,8.97,15.26,96.24,robust,1,0.6,20,,657.3
DyF-ZTL,96.91,92.99,89.42,90.28,0.76,3.1,main,7,0.0,100,,3892.63
FedAvg,4.75,12.23,16.19,8.97,15.26,96.24,robust,1,0.6,20,,660.65
FedAvg,8.65,3.41,12.88,3.98,14.66,87.78,robust,2,0.6,20,,679.43
DyF-ZTL_warmup_rounds=4,95.11,86.52,86.0,84.24,1.48,3.6,sensitivity,1,0.2,20,warmup_rounds=4,921.16
FedProx,3.09,20.18,15.7,10.42,15.24,98.96,robust,1,0.6,20,,1045.65
FedProx,3.09,20.18,15.7,10.42,15.24,98.96,robust,1,0.6,20,,1058.34
FedProx,33.55,11.69,17.9,12.52,10.75,55.01,robust,2,0.6,20,,1087.11
DyF-ZTL_min_safety_threshold=0.2,96.02,91.48,85.6,87.53,1.0,3.87,sensitivity,1,0.2,20,min_safety_threshold=0.2,966.76
DyF-ZTL,82.92,55.97,45.19,49.82,7.24,2.96,robust,1,0.6,20,,952.31
DyF-ZTL,82.92,55.97,45.19,49.82,7.24,2.96,robust,1,0.6,20,,939.81
DyF-ZTL,96.78,96.31,86.08,90.44,0.58,4.2,robust,2,0.6,20,,946.91
DyF-ZTL_min_safety_threshold=0.6,95.25,87.3,86.46,84.76,1.43,3.57,sensitivity,1,0.2,20,min_safety_threshold=0.6,930.68
Krum,0.06,0.08,0.01,0.02,15.45,100.0,robust,1,0.6,20,,658.75
Krum,0.06,0.08,0.01,0.02,15.45,100.0,robust,1,0.6,20,,644.25
Krum,1.61,0.98,6.16,0.72,15.84,97.75,robust,2,0.6,20,,649.95
FedAvg,96.23,95.98,84.68,89.46,0.68,4.89,main,8,0.0,100,,3080.93
MultiKrum,0.97,3.18,6.07,2.6,15.78,99.2,robust,1,0.6,20,,645.86
DyF-ZTL_baseline,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,baseline,881.14
MultiKrum,0.97,3.18,6.07,2.6,15.78,99.2,robust,1,0.6,20,,656.97
MultiKrum,51.39,16.09,14.61,13.11,7.98,26.32,robust,2,0.6,20,,673.09
Median,1.25,0.81,5.51,0.55,15.86,98.46,robust,1,0.6,20,,664.49
Median,1.25,0.81,5.51,0.55,15.86,98.46,robust,1,0.6,20,,665.75
DyF-ZTL_alpha=0.25,96.0,90.06,84.34,85.89,0.94,4.17,sensitivity,1,0.4,20,alpha=0.25,908.35
Median,1.27,1.27,5.53,0.64,15.89,98.41,robust,2,0.6,20,,675.37
TrimmedMean,3.65,0.99,8.05,1.49,15.88,94.81,robust,1,0.6,20,,664.59
TrimmedMean,3.65,0.99,8.05,1.49,15.88,94.81,robust,1,0.6,20,,665.55
TrimmedMean,1.84,0.98,7.63,1.52,15.78,98.3,robust,2,0.6,20,,676.97
DyF-ZTL_alpha=1.0,96.0,90.06,84.34,85.89,0.94,4.17,sensitivity,1,0.4,20,alpha=1.0,909.72
FLTrust,94.51,88.36,85.05,85.48,1.63,4.06,robust,1,0.6,20,,668.73
FLTrust,94.51,88.36,85.05,85.48,1.63,4.06,robust,1,0.6,20,,669.07
FLTrust,95.49,97.33,81.72,88.2,0.73,6.15,robust,2,0.6,20,,678.38
FedAvg,1.04,0.74,4.86,0.47,15.89,98.74,robust,1,0.7,20,,666.7
DyF-ZTL_alpha=1.5,96.0,90.06,84.34,85.89,0.94,4.17,sensitivity,1,0.4,20,alpha=1.5,913.86
FedAvg,1.04,0.74,4.86,0.47,15.89,98.74,robust,1,0.7,20,,677.77
FedAvg,1.99,1.15,7.55,0.89,15.76,97.23,robust,2,0.7,20,,704.91
FedProx,1.17,3.0,4.67,0.85,15.88,98.9,robust,1,0.7,20,,1081.43
DyF-ZTL_decay_factor=0.1,95.83,89.98,83.8,85.46,0.98,4.36,sensitivity,1,0.4,20,decay_factor=0.1,994.56
FedProx,1.17,3.0,4.67,0.85,15.88,98.9,robust,1,0.7,20,,1096.66
FedProx,1.89,0.6,7.18,0.74,15.76,97.5,robust,2,0.7,20,,1120.65
FedProx,96.04,97.34,82.48,88.68,0.65,5.46,main,8,0.0,100,,4618.4
DyF-ZTL,82.79,55.39,44.71,49.31,7.27,3.07,robust,1,0.7,20,,992.66
DyF-ZTL_decay_factor=0.4,95.64,89.89,83.94,85.66,1.08,4.31,sensitivity,1,0.4,20,decay_factor=0.4,987.91
DyF-ZTL,82.79,55.39,44.71,49.31,7.27,3.07,robust,1,0.7,20,,976.43
DyF-ZTL,95.49,96.7,80.31,86.92,0.74,6.2,robust,2,0.7,20,,974.33
Krum,0.06,0.08,0.01,0.02,15.45,100.0,robust,1,0.7,20,,681.95
Krum,0.06,0.08,0.01,0.02,15.45,100.0,robust,1,0.7,20,,668.52
DyF-ZTL_decay_factor=0.8,95.46,98.12,79.68,86.95,0.7,6.45,sensitivity,1,0.4,20,decay_factor=0.8,920.72
Krum,1.29,0.27,6.07,0.51,15.84,98.13,robust,2,0.7,20,,670.86
MultiKrum,3.16,15.54,19.73,12.86,15.17,99.23,robust,1,0.7,20,,660.45
MultiKrum,3.16,15.54,19.73,12.86,15.17,99.23,robust,1,0.7,20,,660.74
DyF-ZTL_low_gate=0.6,95.93,93.65,83.45,87.58,0.85,4.78,sensitivity,1,0.4,20,low_gate=0.6,899.35
MultiKrum,25.89,10.49,14.8,9.42,11.9,63.22,robust,2,0.7,20,,667.69
Median,0.87,0.23,4.6,0.35,15.93,98.79,robust,1,0.7,20,,659.05
Median,0.87,0.23,4.6,0.35,15.93,98.79,robust,1,0.7,20,,657.52
Median,1.25,0.26,6.01,0.5,15.86,98.19,robust,2,0.7,20,,668.25
TrimmedMean,0.51,0.22,2.96,0.2,15.95,99.4,robust,1,0.7,20,,658.81
DyF-ZTL_low_gate=0.8,96.21,96.25,84.24,89.22,0.74,4.69,sensitivity,1,0.4,20,low_gate=0.8,900.26
TrimmedMean,0.51,0.22,2.96,0.2,15.95,99.4,robust,1,0.7,20,,657.55
TrimmedMean,0.93,0.35,5.08,0.49,15.9,98.68,robust,2,0.7,20,,666.9
FLTrust,92.67,94.3,74.35,81.63,1.22,10.05,robust,1,0.7,20,,662.31
FLTrust,92.67,94.3,74.35,81.63,1.22,10.05,robust,1,0.7,20,,660.22
DyF-ZTL_high_gate=0.8,84.68,64.42,73.05,59.71,6.34,3.35,sensitivity,1,0.4,20,high_gate=0.8,900.35
DyF-ZTL,95.72,98.1,80.79,87.77,0.67,6.04,main,8,0.0,100,,4134.18
FLTrust,93.01,94.53,79.25,85.27,1.2,9.22,robust,2,0.7,20,,669.26
FedAvg,0.78,0.57,3.6,0.33,15.93,99.18,robust,1,0.8,20,,654.97
FedAvg,0.78,0.57,3.6,0.33,15.93,99.18,robust,1,0.8,20,,658.27
DyF-ZTL_high_gate=0.9,94.75,98.84,77.26,85.12,0.78,7.58,sensitivity,1,0.4,20,high_gate=0.9,915.28
FedAvg,0.72,0.22,4.28,0.39,15.96,98.98,robust,2,0.8,20,,686.64
FedProx,0.98,2.43,3.79,0.69,15.94,99.12,robust,1,0.8,20,,1036.8
FedProx,0.98,2.43,3.79,0.69,15.94,99.12,robust,1,0.8,20,,1053.67
DyF-ZTL_warmup_rounds=0,94.83,98.86,77.9,85.81,0.77,7.47,sensitivity,1,0.4,20,warmup_rounds=0,970.09
FedProx,0.91,0.37,4.39,0.36,15.92,98.9,robust,2,0.8,20,,1078.41
DyF-ZTL,82.73,57.03,58.19,49.85,7.21,3.49,robust,1,0.8,20,,959.64
DyF-ZTL,82.73,57.03,58.19,49.85,7.21,3.49,robust,1,0.8,20,,947.53
DyF-ZTL_warmup_rounds=4,95.3,88.31,83.95,84.71,1.26,4.23,sensitivity,1,0.4,20,warmup_rounds=4,932.75
DyF-ZTL,95.34,90.93,80.33,84.56,0.93,5.68,robust,2,0.8,20,,939.58
Krum,0.09,0.13,0.02,0.04,15.44,100.0,robust,1,0.8,20,,667.66
Krum,0.09,0.13,0.02,0.04,15.44,100.0,robust,1,0.8,20,,651.71
Krum,0.98,0.85,5.06,0.48,15.84,98.65,robust,2,0.8,20,,650.64
MultiKrum,1.34,3.23,8.14,2.45,15.85,99.15,robust,1,0.8,20,,641.95
DyF-ZTL_min_safety_threshold=0.2,95.61,95.35,81.94,87.21,0.76,5.87,sensitivity,1,0.4,20,min_safety_threshold=0.2,875.94
FedAvg,96.69,95.44,87.51,90.66,0.71,3.79,main,9,0.0,100,,3502.67
MultiKrum,1.34,3.23,8.14,2.45,15.85,99.15,robust,1,0.8,20,,648.77
MultiKrum,0.89,0.18,4.87,0.36,15.92,98.71,robust,2,0.8,20,,670.87
Median,0.57,0.19,3.34,0.23,15.94,99.26,robust,1,0.8,20,,662.59
Median,0.57,0.19,3.34,0.23,15.94,99.26,robust,1,0.8,20,,667.95
DyF-ZTL_min_safety_threshold=0.6,95.61,98.8,80.17,87.51,0.66,6.31,sensitivity,1,0.4,20,min_safety_threshold=0.6,907.2
TrimmedMean,1.4,1.33,3.57,0.52,15.82,99.23,robust,1,0.8,20,,665.23
Median,0.57,0.14,3.46,0.23,15.97,99.2,robust,2,0.8,20,,677.39
TrimmedMean,1.4,1.33,3.57,0.52,15.82,99.23,robust,1,0.8,20,,665.99
DyF-ZTL_baseline,96.0,90.06,84.34,85.89,0.94,4.17,sensitivity,1,0.4,20,baseline,909.49
FLTrust,93.3,95.41,75.05,82.17,1.14,9.0,robust,1,0.8,20,,673.81
TrimmedMean,0.91,0.21,4.87,0.36,15.92,98.71,robust,2,0.8,20,,676.57
FLTrust,93.3,95.41,75.05,82.17,1.14,9.0,robust,1,0.8,20,,671.85
FedAvg,0.61,0.22,3.38,0.24,15.96,99.23,robust,1,0.9,20,,667.15
FLTrust,95.46,95.83,81.69,87.62,0.84,5.76,robust,2,0.8,20,,681.62
DyF-ZTL_alpha=0.25,96.23,98.12,83.87,89.8,0.6,5.3,sensitivity,2,0.2,20,alpha=0.25,931.11
FedAvg,0.61,0.22,3.38,0.24,15.96,99.23,robust,1,0.9,20,,677.53
FedAvg,0.59,0.12,3.63,0.24,15.96,99.15,robust,2,0.9,20,,717.78
FedProx,0.8,0.37,3.81,0.31,15.94,99.09,robust,1,0.9,20,,1079.54
DyF-ZTL_alpha=1.0,96.31,98.13,84.15,89.98,0.59,5.19,sensitivity,2,0.2,20,alpha=1.0,1005.33
FedProx,0.8,0.37,3.81,0.31,15.94,99.09,robust,1,0.9,20,,1097.61
FedProx,0.8,0.21,4.37,0.32,15.94,98.9,robust,2,0.9,20,,1117.49
DyF-ZTL,82.67,50.34,45.38,47.69,7.46,2.44,robust,1,0.9,20,,1001.98
DyF-ZTL_alpha=1.5,96.31,98.13,84.15,89.98,0.59,5.19,sensitivity,2,0.2,20,alpha=1.5,1012.59
DyF-ZTL,82.67,50.34,45.38,47.69,7.46,2.44,robust,1,0.9,20,,986.54
FedProx,96.42,97.47,84.59,90.01,0.6,4.91,main,9,0.0,100,,5323.48
Krum,0.06,0.18,0.24,0.19,15.49,100.0,robust,1,0.9,20,,693.66
DyF-ZTL,90.34,66.95,63.97,62.07,2.01,9.09,robust,2,0.9,20,,969.6
Krum,0.06,0.18,0.24,0.19,15.49,100.0,robust,1,0.9,20,,677.79
DyF-ZTL_decay_factor=0.1,96.25,98.12,83.91,89.83,0.6,5.27,sensitivity,2,0.2,20,decay_factor=0.1,943.62
MultiKrum,0.66,0.14,3.97,0.27,15.96,99.04,robust,1,0.9,20,,660.98
Krum,0.0,0.0,0.0,0.0,15.66,100.0,robust,2,0.9,20,,669.66
MultiKrum,0.66,0.14,3.97,0.27,15.96,99.04,robust,1,0.9,20,,660.75
DyF-ZTL_decay_factor=0.4,96.25,98.12,83.91,89.83,0.6,5.27,sensitivity,2,0.2,20,decay_factor=0.4,915.07
Median,0.51,0.13,3.18,0.2,15.96,99.29,robust,1,0.9,20,,659.96
MultiKrum,0.7,0.15,4.13,0.28,15.95,98.98,robust,2,0.9,20,,669.65
Median,0.51,0.13,3.18,0.2,15.96,99.29,robust,1,0.9,20,,661.01
TrimmedMean,0.53,0.15,3.18,0.21,15.95,99.29,robust,1,0.9,20,,660.02
Median,0.55,0.14,3.37,0.22,15.97,99.23,robust,2,0.9,20,,670.01
DyF-ZTL_decay_factor=0.8,96.21,97.68,83.82,89.59,0.62,5.27,sensitivity,2,0.2,20,decay_factor=0.8,916.27
TrimmedMean,0.53,0.15,3.18,0.21,15.95,99.29,robust,1,0.9,20,,661.93
FLTrust,84.49,74.18,72.31,63.38,3.06,5.19,robust,1,0.9,20,,661.64
TrimmedMean,0.59,0.19,3.37,0.23,15.97,99.23,robust,2,0.9,20,,656.74
FLTrust,84.49,74.18,72.31,63.38,3.06,5.19,robust,1,0.9,20,,625.05
DyF-ZTL_low_gate=0.6,96.25,98.12,83.91,89.83,0.6,5.27,sensitivity,2,0.2,20,low_gate=0.6,846.21
FLTrust,92.44,85.69,75.57,79.64,1.5,9.03,robust,2,0.9,20,,572.98
FLTrust,92.44,85.69,75.57,79.64,1.5,9.03,robust,2,0.9,20,,580.54
DyF-ZTL_low_gate=0.8,96.27,98.13,84.06,89.92,0.59,5.24,sensitivity,2,0.2,20,low_gate=0.8,812.48
DyF-ZTL_high_gate=0.8,96.25,97.59,84.18,89.76,0.62,5.16,sensitivity,2,0.2,20,high_gate=0.8,832.28
DyF-ZTL,96.91,97.77,85.57,90.75,0.52,4.2,main,9,0.0,100,,4406.67
DyF-ZTL_high_gate=0.9,96.1,97.66,83.41,89.3,0.63,5.44,sensitivity,2,0.2,20,high_gate=0.9,857.5
DyF-ZTL_warmup_rounds=0,95.89,97.57,82.0,88.43,0.66,5.74,sensitivity,2,0.2,20,warmup_rounds=0,872.15
DyF-ZTL_warmup_rounds=4,96.27,97.72,83.92,89.67,0.6,5.22,sensitivity,2,0.2,20,warmup_rounds=4,864.33
DyF-ZTL_min_safety_threshold=0.2,96.25,98.12,83.91,89.83,0.6,5.27,sensitivity,2,0.2,20,min_safety_threshold=0.2,842.15
DyF-ZTL_min_safety_threshold=0.6,96.23,98.12,83.87,89.8,0.6,5.3,sensitivity,2,0.2,20,min_safety_threshold=0.6,807.27
DyF-ZTL_baseline,96.25,98.12,83.91,89.83,0.6,5.27,sensitivity,2,0.2,20,baseline,798.75
DyF-ZTL_alpha=0.25,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,alpha=0.25,783.93
DyF-ZTL_alpha=1.0,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,alpha=1.0,801.78
DyF-ZTL_alpha=1.5,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,alpha=1.5,800.03
DyF-ZTL_decay_factor=0.1,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,decay_factor=0.1,807.54
DyF-ZTL_decay_factor=0.4,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,decay_factor=0.4,818.34
DyF-ZTL_decay_factor=0.8,96.35,97.64,84.44,89.99,0.6,5.05,sensitivity,2,0.4,20,decay_factor=0.8,821.21
DyF-ZTL_low_gate=0.6,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,low_gate=0.6,813.48
DyF-ZTL_low_gate=0.8,96.42,97.52,84.77,90.16,0.59,4.94,sensitivity,2,0.4,20,low_gate=0.8,826.25
DyF-ZTL_high_gate=0.8,96.02,94.05,83.94,87.92,0.76,5.0,sensitivity,2,0.4,20,high_gate=0.8,812.19
DyF-ZTL_high_gate=0.9,96.14,97.88,83.14,89.29,0.62,5.41,sensitivity,2,0.4,20,high_gate=0.9,792.92
DyF-ZTL_warmup_rounds=0,96.14,97.0,83.37,89.1,0.64,5.27,sensitivity,2,0.4,20,warmup_rounds=0,791.95
DyF-ZTL_warmup_rounds=4,96.38,97.6,84.83,90.21,0.6,4.94,sensitivity,2,0.4,20,warmup_rounds=4,795.96
DyF-ZTL_min_safety_threshold=0.2,96.4,97.5,84.81,90.16,0.59,4.94,sensitivity,2,0.4,20,min_safety_threshold=0.2,808.4
DyF-ZTL_min_safety_threshold=0.6,96.36,97.64,84.54,90.05,0.59,5.02,sensitivity,2,0.4,20,min_safety_threshold=0.6,834.95
DyF-ZTL_baseline,96.42,97.5,84.92,90.23,0.59,4.91,sensitivity,2,0.4,20,baseline,753.21
FuzzyNoTrust,93.71,75.68,76.96,75.21,1.76,5.02,ablation_poison,0,0.4,20,,687.96
DeepTrust,95.63,95.02,81.84,87.35,0.8,5.63,ablation_poison,0,0.4,20,,652.75
DyF-ZTL_val100,96.29,96.82,84.78,89.84,0.63,5.05,valsize,0,0.4,20,val100,835.67
FuzzyNoTrust,71.69,53.62,58.84,45.38,4.92,18.53,ablation_poison,0,0.5,20,,850.44
DeepTrust,95.95,93.13,83.21,87.6,0.85,4.75,ablation_poison,0,0.5,20,,705.55
DyF-ZTL_val300,96.29,96.82,84.78,89.84,0.63,5.05,valsize,0,0.4,20,val300,876.78
FuzzyNoTrust,93.24,74.07,74.65,71.18,2.35,3.18,ablation_poison,1,0.4,20,,930.74
DeepTrust,95.89,97.36,82.23,88.53,0.67,5.68,ablation_poison,1,0.4,20,,750.32
DyF-ZTL_val600,96.29,96.82,84.78,89.84,0.63,5.05,valsize,0,0.4,20,val600,881.9
DeepTrust,95.0,98.69,78.45,86.1,0.76,7.16,ablation_poison,1,0.5,20,,735.9
FuzzyNoTrust,70.08,52.74,46.42,48.4,5.64,24.49,ablation_poison,1,0.5,20,,936.01
DyF-ZTL_val1200,96.29,96.82,84.78,89.84,0.63,5.05,valsize,0,0.4,20,val1200,883.64
DeepTrust,95.97,98.12,81.95,88.56,0.63,5.71,ablation_poison,2,0.4,20,,756.53
FuzzyNoTrust,94.85,81.8,83.97,78.92,1.38,4.53,ablation_poison,2,0.4,20,,942.16
FLTrustFull,91.48,93.01,74.06,79.02,1.43,9.63,valsize,0,0.4,20,,702.31
DeepTrust,95.83,98.65,81.41,88.3,0.65,5.9,ablation_poison,2,0.5,20,,739.53
FuzzyNoTrust,43.8,36.17,35.08,25.67,9.38,54.98,ablation_poison,2,0.5,20,,928.27
FuzzyNoTrust,95.36,79.82,75.99,76.69,1.49,2.99,ablation,5,0.0,100,,4526.49
FuzzyNoTrust,96.69,94.37,86.76,89.78,0.72,3.79,ablation,9,0.0,100,,4797.33
DyF-ZTL_val100,95.34,98.75,79.22,86.7,0.7,6.7,valsize,1,0.4,20,val100,925.06
DyF-ZTL_val300,95.95,93.49,83.49,87.5,0.84,4.78,valsize,1,0.4,20,val300,919.04
DyF-ZTL_val600,96.0,90.06,84.34,85.89,0.94,4.17,valsize,1,0.4,20,val600,919.94
DyF-ZTL_val1200,95.74,89.69,83.96,85.55,1.05,4.25,valsize,1,0.4,20,val1200,883.6
FLTrustFull,92.97,97.79,75.83,82.73,1.07,10.02,valsize,1,0.4,20,,705.0
DyF-ZTL_val100,96.42,97.5,84.92,90.23,0.59,4.91,valsize,2,0.4,20,val100,886.12
DyF-ZTL_val300,96.42,97.5,84.92,90.23,0.59,4.91,valsize,2,0.4,20,val300,908.81
DyF-ZTL_val600,96.42,97.5,84.92,90.23,0.59,4.91,valsize,2,0.4,20,val600,908.53
DyF-ZTL_val1200,96.42,97.5,84.92,90.23,0.59,4.91,valsize,2,0.4,20,val1200,867.75
FLTrustFull,95.59,97.64,82.85,89.09,0.72,6.12,valsize,2,0.4,20,,615.61
DeepTrust,96.02,90.97,87.54,87.79,0.88,4.42,ablation,5,0.0,100,,3270.64
DeepTrust,96.5,97.01,84.96,90.06,0.63,4.61,ablation,9,0.0,100,,3352.95
FuzzyKrum,94.49,78.02,86.59,75.85,1.52,4.61,fuzzyagg,0,0.2,20,,1040.46
FuzzyKrum,95.57,90.66,84.33,84.88,0.9,5.35,fuzzyagg,2,0.2,20,,1156.54
FuzzyMultiKrum,85.08,63.76,74.12,60.67,6.24,2.96,fuzzyagg,0,0.2,20,,1055.79
DeepTrust,93.85,72.29,76.01,70.01,2.26,2.69,ablation,6,0.0,100,,3544.44
FuzzyMultiKrum,96.19,97.7,84.02,89.73,0.61,5.33,fuzzyagg,2,0.2,20,,1147.34
FuzzyNoTrust,94.79,77.74,75.44,74.71,1.74,3.07,ablation,6,0.0,100,,4443.66
FuzzyMedian,93.54,76.58,73.38,73.98,2.35,2.94,fuzzyagg,0,0.2,20,,1045.67
FuzzyNoTrust,96.12,88.34,88.72,86.98,1.13,3.1,ablation,7,0.0,100,,4321.46
FuzzyMedian,96.16,97.62,84.07,89.7,0.62,5.35,fuzzyagg,2,0.2,20,,1086.12
FuzzyTrimmed,94.75,81.36,86.21,81.03,1.77,3.05,fuzzyagg,0,0.2,20,,870.52
FuzzyNoTrust,96.57,92.26,86.15,88.29,0.8,3.6,ablation,8,0.0,100,,4609.28
FuzzyTrimmed,96.19,97.63,84.17,89.81,0.61,5.3,fuzzyagg,2,0.2,20,,845.5
FuzzyFLTrust,95.57,83.68,85.51,82.52,1.18,4.04,fuzzyagg,0,0.2,20,,687.91
FuzzyFLTrust,96.02,94.5,83.74,88.17,0.73,5.11,fuzzyagg,2,0.2,20,,744.1
DeepTrust,95.93,90.35,88.62,88.2,1.17,3.21,ablation,7,0.0,100,,3046.34
FuzzyKrum,92.75,55.21,65.46,53.93,2.71,2.91,fuzzyagg,0,0.4,20,,700.96
DeepTrust,96.48,96.68,84.47,89.7,0.65,4.56,ablation,8,0.0,100,,3015.4
FuzzyKrum,93.6,86.78,72.95,77.65,1.3,7.69,fuzzyagg,2,0.4,20,,780.9
FuzzyMultiKrum,95.27,86.62,83.05,83.48,1.12,4.56,fuzzyagg,0,0.4,20,,740.08
FuzzyMultiKrum,95.28,90.27,81.46,84.87,1.01,5.35,fuzzyagg,2,0.4,20,,824.88
FuzzyMedian,94.0,82.11,85.88,82.25,1.69,4.83,fuzzyagg,0,0.4,20,,750.84
FuzzyMedian,95.42,90.59,81.6,85.35,1.01,4.8,fuzzyagg,2,0.4,20,,810.98
FuzzyTrimmed,94.77,84.21,79.72,81.6,1.26,4.8,fuzzyagg,0,0.4,20,,744.05
FuzzyTrimmed,94.81,92.24,84.01,87.21,1.08,6.18,fuzzyagg,2,0.4,20,,827.24
FuzzyFLTrust,95.4,84.67,85.29,83.83,1.21,4.25,fuzzyagg,0,0.4,20,,764.88
FuzzyFLTrust,95.97,93.21,84.21,87.84,0.8,4.91,fuzzyagg,2,0.4,20,,836.06
FuzzyKrum,0.15,0.05,1.7,0.06,15.83,99.81,fuzzyagg,0,0.6,20,,775.05
FuzzyMultiKrum,3.83,15.31,20.36,11.21,15.46,98.55,fuzzyagg,0,0.6,20,,776.61
FuzzyKrum,1.57,0.33,6.81,0.62,15.79,97.72,fuzzyagg,2,0.6,20,,844.33
FuzzyMedian,3.01,3.11,3.52,1.1,16.11,98.65,fuzzyagg,0,0.6,20,,766.34
FuzzyMultiKrum,1.19,0.27,5.79,0.47,15.86,98.3,fuzzyagg,2,0.6,20,,833.01
FuzzyTrimmed,9.22,11.89,5.08,3.1,14.99,98.76,fuzzyagg,0,0.6,20,,777.42
FuzzyMedian,0.98,0.56,5.54,0.81,15.91,98.76,fuzzyagg,2,0.6,20,,831.38
FuzzyFLTrust,95.46,84.77,85.94,83.99,1.2,4.2,fuzzyagg,0,0.6,20,,775.71
FuzzyTrimmed,1.16,0.65,4.95,0.55,15.88,98.76,fuzzyagg,2,0.6,20,,837.06
FuzzyKrum,0.17,0.1,1.6,0.07,15.81,99.84,fuzzyagg,0,0.8,20,,755.29
FuzzyFLTrust,95.61,90.52,83.18,85.88,0.94,5.02,fuzzyagg,2,0.6,20,,802.83
FuzzyMultiKrum,0.34,0.32,1.21,0.13,15.95,99.81,fuzzyagg,0,0.8,20,,750.24
FuzzyKrum,0.0,0.0,0.0,0.0,15.59,100.0,fuzzyagg,2,0.8,20,,825.55
FuzzyMedian,0.8,0.53,3.23,0.3,15.94,99.29,fuzzyagg,0,0.8,20,,764.93
FuzzyMultiKrum,0.7,0.21,3.9,0.28,15.95,99.07,fuzzyagg,2,0.8,20,,813.39
FuzzyTrimmed,0.45,0.3,2.11,0.17,15.98,99.59,fuzzyagg,0,0.8,20,,755.0
FuzzyMedian,0.55,0.14,3.37,0.22,15.98,99.23,fuzzyagg,2,0.8,20,,808.67
FuzzyFLTrust,95.82,92.99,83.81,87.49,0.82,5.19,fuzzyagg,0,0.8,20,,755.25
FuzzyTrimmed,0.57,0.19,3.28,0.23,15.97,99.26,fuzzyagg,2,0.8,20,,833.68
FuzzyKrum,91.93,69.46,57.67,62.37,2.88,3.9,fuzzyagg,1,0.2,20,,834.52
FuzzyFLTrust,95.19,94.25,82.26,87.0,0.85,6.34,fuzzyagg,2,0.8,20,,839.41
FuzzyMultiKrum,93.01,75.76,70.77,71.75,2.49,3.43,fuzzyagg,1,0.2,20,,834.44
FuzzyMedian,93.52,80.35,71.87,75.16,2.21,3.6,fuzzyagg,1,0.2,20,,852.63
FuzzyTrimmed,93.62,80.74,72.1,75.54,2.19,3.51,fuzzyagg,1,0.2,20,,845.79
FuzzyFLTrust,95.36,88.4,82.83,84.23,1.11,4.78,fuzzyagg,1,0.2,20,,811.87
FuzzyKrum,0.0,0.0,0.0,0.0,15.58,100.0,fuzzyagg,1,0.4,20,,798.33
FuzzyMultiKrum,16.42,30.24,29.88,19.7,14.27,84.05,fuzzyagg,1,0.4,20,,797.8
FuzzyMedian,93.81,85.91,77.31,79.26,1.39,4.56,fuzzyagg,1,0.4,20,,802.02
FuzzyTrimmed,94.74,92.17,80.45,83.89,1.15,5.6,fuzzyagg,1,0.4,20,,804.89
FuzzyFLTrust,95.13,87.72,82.6,82.48,1.13,5.16,fuzzyagg,1,0.4,20,,823.12
FuzzyKrum,0.0,0.0,0.0,0.0,15.55,100.0,fuzzyagg,1,0.6,20,,828.09
FuzzyMultiKrum,3.03,7.43,12.63,5.68,15.42,96.9,fuzzyagg,1,0.6,20,,824.39
FuzzyMedian,1.16,1.03,5.9,1.07,15.87,98.49,fuzzyagg,1,0.6,20,,811.94
FuzzyTrimmed,1.06,1.29,5.79,1.29,15.88,98.65,fuzzyagg,1,0.6,20,,804.07
FuzzyFLTrust,94.53,83.16,70.44,75.44,1.39,5.27,fuzzyagg,1,0.6,20,,782.24
FuzzyKrum,0.0,0.0,0.0,0.0,15.55,100.0,fuzzyagg,1,0.8,20,,774.96
FuzzyMultiKrum,0.7,0.21,3.9,0.28,15.94,99.07,fuzzyagg,1,0.8,20,,764.71
FuzzyMedian,0.3,0.09,2.21,0.12,15.95,99.59,fuzzyagg,1,0.8,20,,768.1
FuzzyTrimmed,0.23,0.07,1.77,0.09,15.93,99.7,fuzzyagg,1,0.8,20,,783.52
FuzzyFLTrust,94.41,83.4,69.63,74.98,1.33,5.76,fuzzyagg,1,0.8,20,,711.35
