Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
Median,37.63,40.94,32.01,25.81,10.98,61.49,robust,0,0.5,20,,440.03
TrimmedMean,16.49,43.48,37.04,24.66,14.38,95.58,robust,0,0.5,20,,443.45
FLTrust,95.93,94.45,84.28,88.71,0.84,4.86,robust,0,0.5,20,,442.01
FedAvg,5.57,15.39,18.58,9.87,15.18,97.58,robust,0,0.6,20,,445.56
FedProx,14.52,23.03,27.62,14.4,13.79,86.3,robust,0,0.6,20,,638.54
DyF-ZTL,96.27,96.06,83.37,88.89,0.65,4.97,robust,0,0.6,20,,533.5
Krum,0.51,3.42,2.92,0.7,15.7,99.75,robust,0,0.6,20,,447.02
MultiKrum,1.12,0.85,5.95,1.06,15.89,98.76,robust,0,0.6,20,,439.81
Median,3.94,8.52,15.53,7.32,15.47,98.41,robust,0,0.6,20,,460.36
TrimmedMean,2.99,7.28,21.98,2.67,15.63,96.73,robust,0,0.6,20,,511.68
FedAvg,96.02,98.25,82.3,88.88,0.64,5.57,robust,2,0.0,20,,598.26
FedAvg,93.22,79.91,82.83,76.68,2.39,3.43,robust,1,0.0,20,,593.66
FLTrust,95.59,89.12,84.78,86.12,1.06,4.5,robust,0,0.6,20,,579.64
DyF-ZTL_alpha=0.25,96.89,94.09,86.92,90.18,0.64,3.68,sensitivity,0,0.2,20,alpha=0.25,817.09
FedAvg,2.05,3.98,7.37,1.41,15.73,97.64,robust,0,0.7,20,,648.45
FedProx,95.87,96.52,82.49,88.25,0.71,5.57,robust,2,0.0,20,,1042.37
FedProx,95.93,91.05,85.01,86.84,1.01,4.01,robust,1,0.0,20,,1040.67
DyF-ZTL_alpha=1.0,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,alpha=1.0,898.94
FedProx,1.44,1.15,5.87,0.82,15.83,98.63,robust,0,0.7,20,,991.69
DyF-ZTL,96.27,98.36,83.62,89.76,0.58,5.3,robust,2,0.0,20,,973.96
DyF-ZTL,96.1,90.42,86.11,87.12,1.01,3.68,robust,1,0.0,20,,957.92
DyF-ZTL_alpha=1.5,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,alpha=1.5,885.93
Krum,93.37,94.53,80.02,85.35,1.11,9.09,robust,2,0.0,20,,673.89
DyF-ZTL,96.17,98.04,82.59,89.01,0.62,5.33,robust,0,0.7,20,,855.67
Krum,87.81,71.78,56.22,57.22,2.94,10.29,robust,1,0.0,20,,657.65
DyF-ZTL_decay_factor=0.1,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,decay_factor=0.1,834.54
FedAvg,95.49,82.27,74.24,77.6,1.18,4.2,main,5,0.0,100,,3313.81
Krum,1.12,8.54,5.35,1.6,15.53,99.64,robust,0,0.7,20,,609.05
MultiKrum,96.12,97.54,82.96,89.1,0.63,5.38,robust,2,0.0,20,,660.55
MultiKrum,93.05,82.71,70.21,75.36,2.34,4.01,robust,1,0.0,20,,651.26
DyF-ZTL_decay_factor=0.4,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,decay_factor=0.4,853.38
MultiKrum,0.81,0.66,4.32,0.59,15.9,99.09,robust,0,0.7,20,,625.55
Median,96.02,98.66,82.31,89.03,0.63,5.6,robust,2,0.0,20,,678.56
Median,93.09,83.49,69.44,75.18,2.24,4.39,robust,1,0.0,20,,668.95
Median,0.51,0.29,3.34,0.23,15.95,99.29,robust,0,0.7,20,,625.27
TrimmedMean,95.93,98.09,81.81,88.5,0.64,5.74,robust,2,0.0,20,,678.83
TrimmedMean,93.73,82.56,84.45,77.32,2.07,3.82,robust,1,0.0,20,,669.94
DyF-ZTL_decay_factor=0.8,96.89,94.09,86.92,90.18,0.64,3.68,sensitivity,0,0.2,20,decay_factor=0.8,855.5
TrimmedMean,0.74,0.58,4.18,0.37,15.93,98.98,robust,0,0.7,20,,624.13
FLTrust,96.12,97.93,82.98,89.26,0.62,5.46,robust,2,0.0,20,,681.63
FLTrust,95.99,97.81,82.0,88.53,0.65,5.54,robust,1,0.0,20,,672.63
DyF-ZTL_low_gate=0.6,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,low_gate=0.6,855.68
FLTrust,95.74,95.0,82.39,87.82,0.79,5.46,robust,0,0.7,20,,628.1
FedAvg,96.04,98.49,82.59,89.17,0.62,5.6,robust,2,0.1,20,,677.5
FedAvg,94.72,86.86,85.74,83.54,1.62,3.79,robust,1,0.1,20,,669.52
FedAvg,2.42,2.94,3.7,0.91,15.71,99.26,robust,0,0.8,20,,657.96
DyF-ZTL_low_gate=0.8,96.88,93.99,86.65,89.98,0.64,3.73,sensitivity,0,0.2,20,low_gate=0.8,889.4
