Method,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
DyF-ZTL,0.17,0.65,1.27,0.47,0.21,0.62,7.86,7.54,7.63,6.45
FLTrust,0.1,0.18,0.17,0.1,0.24,0.5,0.6,1.68,1.42,5.41
FedAvg,1.44,0.68,0.54,1.22,2.4,2.2,2.06,0.57,0.96,4.88
FedProx,0.06,0.08,0.24,0.52,2.3,18.28,15.39,0.36,0.11,0.1
Krum,4.05,3.6,2.94,0.23,3.18,50.05,0.8,0.67,0.49,2.39
Median,1.52,1.1,0.99,4.62,6.27,29.48,1.55,0.37,0.02,0.06
MultiKrum,1.59,0.68,0.21,8.93,4.94,42.12,29.07,13.85,0.73,0.04
TrimmedMean,1.19,0.77,1.14,0.75,12.28,7.13,0.92,0.21,0.41,0.04
