Method,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
DyF-ZTL,96.27,96.0,95.8,96.24,96.2,96.13,91.99,91.48,91.52,89.5
FLTrust,96.1,96.16,95.96,96.01,95.91,95.69,95.2,93.81,94.92,90.59
FedAvg,94.82,95.47,95.31,93.71,89.0,37.18,6.32,1.69,1.31,3.42
FedProx,95.87,95.9,95.77,94.99,91.54,50.9,17.05,1.5,1.0,0.86
Krum,92.29,91.88,90.87,94.81,92.56,29.75,0.73,0.82,0.66,1.41
Median,94.31,94.48,94.44,92.05,86.91,43.11,2.15,0.88,0.56,0.56
MultiKrum,94.83,95.87,95.5,89.6,92.05,60.23,17.83,9.95,1.51,0.7
TrimmedMean,95.1,95.53,95.02,95.06,76.72,12.6,2.83,0.73,0.97,0.58
